Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"cert/pv-sweep/pv=1,npv=0/create",8.492756715319289e-7,8.462814852024522e-7,8.534954987328676e-7,1.1841530349323245e-8,8.642295648443181e-9,1.9380569905086274e-8
"cert/pv-sweep/pv=1,npv=0/verify",8.431303210339427e-4,8.397884488316062e-4,8.468350485238805e-4,1.217730953288536e-5,1.0472130583771615e-5,1.4818196022526515e-5
"cert/pv-sweep/pv=48,npv=0/create",3.487001521191424e-5,3.47296057208523e-5,3.504354107053909e-5,5.149920457618069e-7,4.2379503970870683e-7,6.500541235411568e-7
"cert/pv-sweep/pv=48,npv=0/verify",9.257893007414287e-4,9.213621062555389e-4,9.311832217031533e-4,1.601348158825484e-5,1.3210798330059822e-5,2.037882878894764e-5
"cert/pv-sweep/pv=120,npv=0/create",8.718115292594963e-5,8.693244411806563e-5,8.74340507654113e-5,8.935979021678498e-7,7.601436857517276e-7,1.1037284108611062e-6
"cert/pv-sweep/pv=120,npv=0/verify",1.0261682443741922e-3,1.0229011102069574e-3,1.0295355600109027e-3,1.1068816917535882e-5,9.10975102064536e-6,1.4265958116203405e-5
"cert/pv-sweep/pv=240,npv=0/create",1.7545234979879013e-4,1.7422676103455177e-4,1.7728677248919476e-4,5.254721325978533e-6,3.8807845647074534e-6,7.312641753869704e-6
"cert/pv-sweep/pv=240,npv=0/verify",1.216011298046308e-3,1.2089890886347026e-3,1.2292649199206137e-3,3.116013088652705e-5,2.199793543520938e-5,4.9700228911570555e-5
"cert/pv-sweep/pv=361,npv=0/create",2.631360712907929e-4,2.61701340838715e-4,2.653299288326837e-4,5.807228161850245e-6,4.003748856913533e-6,9.385300337667013e-6
"cert/pv-sweep/pv=361,npv=0/verify",1.4344026402402248e-3,1.4301231042437917e-3,1.439233281910849e-3,1.5299725468909146e-5,1.2612256933621074e-5,1.9500220596033885e-5
