Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pv/persistent-vote/create,2.6928559053964303e-4,2.6890451275218537e-4,2.696503380985682e-4,1.2663009028721752e-6,1.0556575005382485e-6,1.5187557404718208e-6
pv/persistent-vote/verify,9.024873038690695e-4,9.012812764632074e-4,9.044218663160794e-4,4.847644319404679e-6,3.3937460943304677e-6,7.848461379336373e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-3/create-win,4.0271850135643373e-4,4.0194116856166013e-4,4.033824240035475e-4,1.6138371828494727e-6,1.2870620104266325e-6,2.0324632973401673e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-3/create-lose,2.737003022373613e-4,2.733278652741308e-4,2.741183226207812e-4,9.837459707804272e-7,8.148748088709392e-7,1.1946859514756612e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-3/verify,1.6828652787085063e-3,1.6793535258926926e-3,1.6914873011376645e-3,1.5234997341933773e-5,7.661672919461916e-6,2.842830881053297e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-3/sortition-check,5.218375430095209e-6,5.1517994902510386e-6,5.288028024369873e-6,1.4963243748310365e-7,1.1985440672521005e-7,1.7854219976717446e-7
npv/non-persistent-vote/n2=50/sigma=1.0e-2/create-win,4.076594501627881e-4,4.069994332931296e-4,4.0849202641124433e-4,1.757623318231694e-6,1.3380348234379202e-6,2.38162208523728e-6
npv/non-persistent-vote/n2=50/sigma=1.0e-2/create-lose,2.6747105064309294e-4,2.667715144380646e-4,2.6827053088234967e-4,1.814042895083176e-6,1.2619064164228392e-6,2.4658319276613397e-6
npv/non-persistent-vote/n2=50/sigma=1.0e-2/verify,1.669810602286029e-3,1.6587377066826735e-3,1.7027674087156963e-3,5.34090625551362e-5,1.6933605091795817e-5,1.092471660695288e-4
npv/non-persistent-vote/n2=50/sigma=1.0e-2/sortition-check,5.176369124023735e-6,5.137039385341446e-6,5.221668236813586e-6,9.134259296125784e-8,8.16072528998677e-8,9.999083128915262e-8
npv/non-persistent-vote/n2=50/sigma=5.0e-2/create-win,4.0817640963028537e-4,4.0747617510125694e-4,4.0894417390477844e-4,2.058221264520953e-6,1.653713701298886e-6,2.7170561628825425e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-2/create-lose,2.7898988553564996e-4,2.777755167101009e-4,2.8146783916539774e-4,3.603374579923304e-6,1.0958416328258753e-6,5.3681329498433936e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-2/verify,1.7006418526907415e-3,1.6982633113916505e-3,1.7034578104452493e-3,8.068839632951641e-6,6.466399304430103e-6,1.0845513824258796e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-2/sortition-check,6.020515576518933e-6,6.007933279660695e-6,6.0313636429218094e-6,2.476076672920807e-8,1.7697470230793837e-8,3.93991669830957e-8
npv/non-persistent-vote/n2=50/sigma=0.1/create-win,4.0890427457263825e-4,4.081332746525624e-4,4.0946083971226473e-4,1.9030388940009867e-6,1.2970413924875975e-6,2.5801583433927697e-6
npv/non-persistent-vote/n2=50/sigma=0.1/verify,1.7039441977670777e-3,1.7007247650399865e-3,1.7083051480622925e-3,1.2264598479898508e-5,7.419669249077971e-6,1.8480994358527408e-5
npv/non-persistent-vote/n2=50/sigma=0.1/sortition-check,7.448365510396889e-6,7.403421186975695e-6,7.543065224873071e-6,1.4610799932944245e-7,5.6857424547237355e-8,2.1342515021184462e-7
npv/non-persistent-vote/n2=50/sigma=0.25/create-win,3.951282248188959e-4,3.9412961814957136e-4,3.9613100011921554e-4,2.920709362223967e-6,2.4684244269049376e-6,3.4266939356177897e-6
npv/non-persistent-vote/n2=50/sigma=0.25/verify,1.661685402731618e-3,1.6585110592539903e-3,1.665077555347202e-3,1.0613441667449068e-5,8.706063579333915e-6,1.4541597375017366e-5
npv/non-persistent-vote/n2=50/sigma=0.25/sortition-check,1.3674998939998543e-5,1.3574977754767818e-5,1.3815964677502077e-5,2.491055431188922e-7,1.6476371740179782e-7,3.446733473958677e-7
npv/non-persistent-vote/n2=50/sigma=0.5/create-win,4.2701471396397456e-4,4.2635603801882135e-4,4.2748193822987536e-4,1.5636143953397205e-6,1.1342005654820781e-6,2.4592607052123617e-6
npv/non-persistent-vote/n2=50/sigma=0.5/verify,1.734582267162278e-3,1.7291870768211086e-3,1.740241859595789e-3,1.7868630270741375e-5,1.480790076445356e-5,2.189199975257723e-5
npv/non-persistent-vote/n2=50/sigma=0.5/sortition-check,2.431629140567292e-5,2.426531948110781e-5,2.4381073267266988e-5,1.2362271607333937e-7,8.190397790980377e-8,1.9067027801021726e-7
npv/non-persistent-vote/n2=70/sigma=5.0e-3/create-win,4.066603165914385e-4,4.0635769402332415e-4,4.0696421527514233e-4,6.672852634745687e-7,5.490646048001706e-7,8.290509080608529e-7
npv/non-persistent-vote/n2=70/sigma=5.0e-3/create-lose,2.7609902613109346e-4,2.756668981557374e-4,2.765352431723723e-4,1.098799851402427e-6,9.082333336204165e-7,1.4896939613219048e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-3/verify,1.7002468130342466e-3,1.6986863429734233e-3,1.7028261969166839e-3,5.852656099804207e-6,4.303086164214292e-6,9.467216846580468e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-3/sortition-check,5.032668935436376e-6,5.019120979401868e-6,5.051450025652155e-6,3.438022247284454e-8,2.3314393156222587e-8,5.136333636224466e-8
npv/non-persistent-vote/n2=70/sigma=1.0e-2/create-win,4.0455972201819537e-4,4.038650939591197e-4,4.051841380916966e-4,1.6219490503284213e-6,1.3089028857099894e-6,2.01540824939056e-6
npv/non-persistent-vote/n2=70/sigma=1.0e-2/create-lose,2.755915797908668e-4,2.7520003055391776e-4,2.759541433814204e-4,8.256490681264923e-7,6.855669529673998e-7,1.0494072202188435e-6
npv/non-persistent-vote/n2=70/sigma=1.0e-2/verify,1.6887122416189273e-3,1.686858689514429e-3,1.690313571103273e-3,5.654197246562006e-6,4.610097516505156e-6,7.514322145246696e-6
npv/non-persistent-vote/n2=70/sigma=1.0e-2/sortition-check,5.160633503268503e-6,5.124050587596904e-6,5.192136685609962e-6,7.75611769285415e-8,5.791559697854409e-8,1.0429001132635687e-7
npv/non-persistent-vote/n2=70/sigma=5.0e-2/create-win,3.928630028284604e-4,3.918639955060726e-4,3.9440984352288454e-4,3.601007671126462e-6,2.519958686830229e-6,5.169742958108969e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-2/create-lose,2.756373589466043e-4,2.7328395862360376e-4,2.7784705008870284e-4,4.8125591995688845e-6,3.958837108825216e-6,5.34502920214954e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-2/verify,1.6987064824114605e-3,1.6973918656911211e-3,1.7000099930767829e-3,4.1810185645508555e-6,3.427888300904748e-6,5.28918368899345e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-2/sortition-check,6.524196670105278e-6,6.500327097910612e-6,6.559589099572874e-6,6.085368876429943e-8,3.5290750730926854e-8,1.0140428342555625e-7
npv/non-persistent-vote/n2=70/sigma=0.1/create-win,3.8951574830190845e-4,3.8818459263579083e-4,3.911673510799614e-4,4.096662429623586e-6,3.00272226000351e-6,5.2593870764803246e-6
npv/non-persistent-vote/n2=70/sigma=0.1/verify,1.6429553400286224e-3,1.638730145526986e-3,1.6476627883425421e-3,1.5027915412462128e-5,1.1718050751360387e-5,2.0212924888177898e-5
npv/non-persistent-vote/n2=70/sigma=0.1/sortition-check,8.908758169036274e-6,8.799224247035886e-6,9.003665781197307e-6,2.1305358584025126e-7,1.9376739894386796e-7,2.3747717839715187e-7
npv/non-persistent-vote/n2=70/sigma=0.25/create-win,4.094884096683351e-4,4.083221226447474e-4,4.108427676478548e-4,3.50560820045831e-6,3.0492601508169657e-6,4.3576291195076945e-6
npv/non-persistent-vote/n2=70/sigma=0.25/verify,1.6822602333963152e-3,1.679237513533682e-3,1.6844130964599954e-3,8.783557922166996e-6,6.498594045243186e-6,1.1971776765495769e-5
npv/non-persistent-vote/n2=70/sigma=0.25/sortition-check,1.7446772239125665e-5,1.738552851267553e-5,1.7509896566132067e-5,1.3999661574267183e-7,9.879887931570307e-8,2.0512897265274507e-7
npv/non-persistent-vote/n2=70/sigma=0.5/create-win,4.173345752507921e-4,4.16424537623683e-4,4.184485846996522e-4,2.918152797575023e-6,2.1653462518995414e-6,3.7788627327905327e-6
npv/non-persistent-vote/n2=70/sigma=0.5/verify,1.5969853408479132e-3,1.5928906992448539e-3,1.6019386497114724e-3,1.4693859858829571e-5,1.1963611253800556e-5,1.7839291826518178e-5
npv/non-persistent-vote/n2=70/sigma=0.5/sortition-check,2.933741560545412e-5,2.9285252047525427e-5,2.938460505833694e-5,1.0499389274750855e-7,7.905079905878169e-8,1.445110835353612e-7
npv/non-persistent-vote/n2=90/sigma=5.0e-3/create-win,3.740777865829828e-4,3.7343567081281494e-4,3.75047492968656e-4,1.8045165318431224e-6,1.0772099468670472e-6,2.5862759638642826e-6
npv/non-persistent-vote/n2=90/sigma=5.0e-3/create-lose,2.549462039892438e-4,2.543688527816955e-4,2.5622798670932507e-4,2.0112531790059477e-6,8.829233356636358e-7,4.080845481921291e-6
npv/non-persistent-vote/n2=90/sigma=5.0e-3/verify,1.5762212409122672e-3,1.5713876559419432e-3,1.5815584026208506e-3,1.5091881292781832e-5,1.2509256273282933e-5,1.837974077647509e-5
npv/non-persistent-vote/n2=90/sigma=5.0e-3/sortition-check,5.165848405161098e-6,5.082414372417474e-6,5.2093485489889175e-6,1.2637268234229435e-7,7.695096062498237e-8,1.632474093933688e-7
npv/non-persistent-vote/n2=90/sigma=1.0e-2/create-win,3.857868980625889e-4,3.8403691050700565e-4,3.8862685834332316e-4,5.698945523796721e-6,4.148418026462366e-6,8.641828271439915e-6
npv/non-persistent-vote/n2=90/sigma=1.0e-2/create-lose,2.5942086100509606e-4,2.5892912217137076e-4,2.6051968726316957e-4,1.5371257939937216e-6,8.887157081824103e-7,2.8190901585450156e-6
npv/non-persistent-vote/n2=90/sigma=1.0e-2/verify,1.6437882510119634e-3,1.638842091938664e-3,1.6472243248794511e-3,1.2761145744025442e-5,8.991866408973123e-6,1.9193381037659362e-5
npv/non-persistent-vote/n2=90/sigma=1.0e-2/sortition-check,5.078375126833358e-6,5.035219879844519e-6,5.141506990402847e-6,1.13646098650096e-7,8.03143869750898e-8,1.6352101933240483e-7
npv/non-persistent-vote/n2=90/sigma=5.0e-2/create-win,3.8986943484912735e-4,3.8860039007679255e-4,3.918118015155557e-4,4.4882010776448725e-6,3.2490414191438056e-6,6.499011536388748e-6
npv/non-persistent-vote/n2=90/sigma=5.0e-2/create-lose,2.588045996058363e-4,2.583829957787139e-4,2.591781268417685e-4,8.350319808540458e-7,6.068410214095657e-7,1.1813792310227674e-6
npv/non-persistent-vote/n2=90/sigma=5.0e-2/verify,1.5924760993653332e-3,1.5884882100036066e-3,1.5977578491872559e-3,1.437223837679051e-5,1.148449430704302e-5,2.0612588540562133e-5
npv/non-persistent-vote/n2=90/sigma=5.0e-2/sortition-check,6.869056980119332e-6,6.859525440160801e-6,6.87801475905703e-6,2.1001817999616555e-8,1.4779510751321396e-8,3.250793050757697e-8
npv/non-persistent-vote/n2=90/sigma=0.1/create-win,3.816185852211397e-4,3.7984142883394737e-4,3.867593409041729e-4,8.16313132214757e-6,3.106096966917544e-6,1.58955754529504e-5
npv/non-persistent-vote/n2=90/sigma=0.1/verify,1.5805441554709167e-3,1.576193161331425e-3,1.5876844686151205e-3,1.8054749114367086e-5,1.194996351704635e-5,2.8071399802234385e-5
npv/non-persistent-vote/n2=90/sigma=0.1/sortition-check,1.000647446079493e-5,9.990531483346819e-6,1.0022981476690146e-5,3.2307254876963764e-8,2.192391943047426e-8,4.557582580738842e-8
npv/non-persistent-vote/n2=90/sigma=0.25/create-win,3.9555769298963106e-4,3.9491248828035514e-4,3.962976824953013e-4,1.9006270809919525e-6,1.5339082693394716e-6,2.6267319853296115e-6
npv/non-persistent-vote/n2=90/sigma=0.25/verify,1.6398850603541277e-3,1.637001852482577e-3,1.6433655762870985e-3,1.031403949169082e-5,8.175771110435674e-6,1.344455995314302e-5
npv/non-persistent-vote/n2=90/sigma=0.25/sortition-check,2.2240636954542726e-5,2.221000076064113e-5,2.2277835123197237e-5,7.382525251908258e-8,5.606072794075067e-8,1.0411548401582199e-7
npv/non-persistent-vote/n2=90/sigma=0.5/create-win,4.3797988822973246e-4,4.3718157213011924e-4,4.387205836751722e-4,2.1981774844341315e-6,1.7401308609608437e-6,2.9686267390318514e-6
npv/non-persistent-vote/n2=90/sigma=0.5/verify,1.7195493158076846e-3,1.7161411906793632e-3,1.7215771373498988e-3,7.950907291809726e-6,5.1116017791367764e-6,1.1816683497932792e-5
npv/non-persistent-vote/n2=90/sigma=0.5/sortition-check,3.946176012708976e-5,3.941976468395343e-5,3.950920299904869e-5,9.718717677276273e-8,7.214895007575934e-8,1.3011602672172164e-7
npv/non-persistent-vote/n2=110/sigma=5.0e-3/create-win,4.0360430631602474e-4,4.025196394201669e-4,4.042223102599641e-4,1.9051420562258246e-6,1.2021693504756322e-6,3.232409294600657e-6
npv/non-persistent-vote/n2=110/sigma=5.0e-3/create-lose,2.733569214547379e-4,2.7259504846952265e-4,2.739543334048395e-4,1.55940060393959e-6,9.805143304378117e-7,2.264464875860387e-6
npv/non-persistent-vote/n2=110/sigma=5.0e-3/verify,1.6830811948375223e-3,1.6797858651503373e-3,1.6884289576827214e-3,1.2729907415485284e-5,7.250539078331452e-6,2.378822515580606e-5
npv/non-persistent-vote/n2=110/sigma=5.0e-3/sortition-check,5.191786274357909e-6,5.1844747642851795e-6,5.202804388908841e-6,1.9398989197412437e-8,1.1989640096484973e-8,3.095744486903019e-8
npv/non-persistent-vote/n2=110/sigma=1.0e-2/create-win,4.0269110357191634e-4,4.0208258920928916e-4,4.03231174253514e-4,1.5170975487600054e-6,1.1637091985676003e-6,2.0382110560460728e-6
npv/non-persistent-vote/n2=110/sigma=1.0e-2/create-lose,2.743631948245197e-4,2.739330292737985e-4,2.747167976742573e-4,8.216318427007102e-7,5.692064481102431e-7,1.2311276625770515e-6
npv/non-persistent-vote/n2=110/sigma=1.0e-2/verify,1.6822370021299605e-3,1.6808442206531888e-3,1.683585189960447e-3,4.5564471209744275e-6,3.6869589846534934e-6,5.882705349492265e-6
npv/non-persistent-vote/n2=110/sigma=1.0e-2/sortition-check,4.977657813572099e-6,4.937407714988015e-6,5.054896070118941e-6,1.2266722873668647e-7,7.359639697018444e-8,1.5989951522622586e-7
npv/non-persistent-vote/n2=110/sigma=5.0e-2/create-win,4.0727381991471977e-4,4.065476005861835e-4,4.077373770529807e-4,1.633829433172859e-6,1.0983547626551107e-6,2.3839892133592323e-6
npv/non-persistent-vote/n2=110/sigma=5.0e-2/verify,1.6906556922922234e-3,1.688645294242962e-3,1.6923646697406477e-3,6.020967681688767e-6,4.7004133667546576e-6,8.29057329506261e-6
npv/non-persistent-vote/n2=110/sigma=5.0e-2/sortition-check,8.124700689772499e-6,8.116308602402311e-6,8.132146372949947e-6,1.7098936609967165e-8,1.3273162258940878e-8,2.3980910847190448e-8
npv/non-persistent-vote/n2=110/sigma=0.1/create-win,4.117013548618871e-4,4.1118151775466053e-4,4.121388495243949e-4,1.394413835842983e-6,1.118878331774774e-6,1.761723739142136e-6
npv/non-persistent-vote/n2=110/sigma=0.1/verify,1.6936262367502931e-3,1.6921065713227709e-3,1.695345927197115e-3,5.290542459075808e-6,4.2764627590270455e-6,6.935629461850148e-6
npv/non-persistent-vote/n2=110/sigma=0.1/sortition-check,1.2697915999575653e-5,1.2683075019980429e-5,1.2715161182724226e-5,3.5590936330714945e-8,2.661367110873807e-8,4.742347213339213e-8
npv/non-persistent-vote/n2=110/sigma=0.25/create-win,4.2555724902246255e-4,4.2495460527995535e-4,4.2616669767725094e-4,1.6489587244190782e-6,1.134320848602803e-6,2.623325284744052e-6
npv/non-persistent-vote/n2=110/sigma=0.25/verify,1.7068007639290954e-3,1.7039091474192025e-3,1.7089637204129003e-3,7.975078477511047e-6,5.504602650309897e-6,1.1422887948121576e-5
npv/non-persistent-vote/n2=110/sigma=0.25/sortition-check,2.5969911380062003e-5,2.593138164740092e-5,2.600737893117909e-5,8.140994205018632e-8,6.068097340638914e-8,1.083709218630971e-7
npv/non-persistent-vote/n2=110/sigma=0.5/create-win,4.457548805101608e-4,4.4430382728251377e-4,4.4673108629096836e-4,3.321506756909804e-6,2.2678747403717875e-6,5.059949296454705e-6
npv/non-persistent-vote/n2=110/sigma=0.5/verify,1.7282080109512071e-3,1.726789229781004e-3,1.7294429969025777e-3,4.341675596309948e-6,3.416429977767514e-6,5.827751010444911e-6
