Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pv/persistent-vote/create,2.6054209161382216e-4,2.5930719335575433e-4,2.65588088453964e-4,6.604454177540478e-6,2.3924773611609836e-6,1.5410124460170048e-5
pv/persistent-vote/verify,7.560649521471827e-4,7.540829668953295e-4,7.58605457899558e-4,7.75512035084226e-6,6.244463171092321e-6,1.129233797568115e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-3/create-win,4.198467241523858e-4,4.119006893582446e-4,4.319427722522472e-4,2.1437960740746573e-5,1.2953455411875906e-5,3.254711981498666e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-3/create-lose,2.746752922528416e-4,2.741274172008946e-4,2.7522968135381537e-4,1.4481227493390514e-6,1.0319664289548533e-6,2.1515433515115557e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-3/verify,1.6900518275558968e-3,1.687289146282525e-3,1.6922306320609735e-3,7.237108034975745e-6,5.4778300925695125e-6,1.0370890849891126e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-3/sortition-check,5.445153852068808e-6,5.42685146583533e-6,5.472289303216666e-6,4.490710958094557e-8,3.3388510516949314e-8,6.438468643021382e-8
npv/non-persistent-vote/n2=50/sigma=1.0e-2/create-win,3.81103852156662e-4,3.8030041119461414e-4,3.821491339393122e-4,2.1440030755503584e-6,1.3788487947255187e-6,3.0026364378756514e-6
npv/non-persistent-vote/n2=50/sigma=1.0e-2/create-lose,2.601765589024008e-4,2.590380323852223e-4,2.6286737732966585e-4,3.834721672903017e-6,2.007447058929393e-6,7.262832195475409e-6
npv/non-persistent-vote/n2=50/sigma=1.0e-2/verify,1.6142424814147677e-3,1.6110229026465824e-3,1.6179827671606328e-3,1.067287075689551e-5,8.56387667357723e-6,1.452103800303492e-5
npv/non-persistent-vote/n2=50/sigma=1.0e-2/sortition-check,5.349604249614523e-6,5.325694200474968e-6,5.398152246089709e-6,7.095620086177075e-8,3.313344021190341e-8,1.2008079829205686e-7
npv/non-persistent-vote/n2=50/sigma=5.0e-2/create-win,4.0062399362312867e-4,3.997817291911527e-4,4.0137077608998743e-4,2.230885645279293e-6,1.7838296784493777e-6,2.928514081092135e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-2/create-lose,2.743034129134946e-4,2.73662858445555e-4,2.750691927989794e-4,1.5441357893282755e-6,1.1748664522224108e-6,2.2953312253086884e-6
npv/non-persistent-vote/n2=50/sigma=5.0e-2/verify,1.6811080366097857e-3,1.6781164707156764e-3,1.6839488003935396e-3,9.323353258358428e-6,7.825525001325701e-6,1.1147548435393482e-5
npv/non-persistent-vote/n2=50/sigma=5.0e-2/sortition-check,6.104446638708548e-6,6.05544372578326e-6,6.207235713600175e-6,1.4425590591982766e-7,1.7404058994320052e-8,2.4985128744661786e-7
npv/non-persistent-vote/n2=50/sigma=0.1/create-win,4.2061151406561727e-4,4.1848050667744554e-4,4.243681861023931e-4,7.647416278558593e-6,5.0256827234913165e-6,1.1695098788387251e-5
npv/non-persistent-vote/n2=50/sigma=0.1/verify,1.7501149360293652e-3,1.7375121726674755e-3,1.7647186822300973e-3,4.2375942674479126e-5,3.516590026157738e-5,5.26997039536007e-5
npv/non-persistent-vote/n2=50/sigma=0.1/sortition-check,8.044444466047701e-6,7.973684128709054e-6,8.129533807114688e-6,1.6171104513969552e-7,1.261973844416263e-7,2.1583403045322785e-7
